"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2015-07-02T21:13:40.458+03:00","0.0","0.25"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2015-07-02T21:13:40.738+03:00","0.0","0.03"
